date,author,title,source,url,type,language,release_id,gig_id,archive_service
2013-04-19,Григорий Пророков,"Лучшие новые русские группы недели: Shortparis, Teen Themes, Rough Partner и Der Keller",Афиша,https://web.archive.org/web/20130622080147/http://www.afisha.ru/article/newrussians_vol1/,General,Russian,,,Wayback
2013-05-20,Радиф Кашапов,"ФЕСТИВАЛЬ SKIF: фри, ноу, пост и авант",ЗВУКИ.RU,https://www.zvuki.ru/R/P/30514/,Live Review,Russian,,g130516,archive.today
2013-10-07,Анастасия Алексеева,Рецензия на альбом Shortparis «Дочери»,Бинокль,http://binoclespb.ru/post/05-10-2013_shortparis.html,Review,Russian,ab130407,,Wayback
2014-01-22,Анастасия Алексеева,Интервью с Данилой Холодковым и Александром Ионовым,Бинокль,http://binoclespb.ru/post/22-01-2014_molvaiprihod.html,Interview,Russian,,,Wayback
2014-02-28,Анастасия Алексеева,Отчет с концерта группы Shortparis,Бинокль,http://binoclespb.ru/post/27-02-2014_otchet_s_kontserta_gruppy_shortparis.html,Live Review,Russian,,g140222,Wayback
2015-06-05,Диана Смольякова,Петербургские музыканты устроили перформанс в магазине «Продукты 24»,Собака.ru,http://www.sobaka.ru/city/city/37297,Interview,Russian,,g150523,Wayback
2015-07-09,Алла Игнатенко,Дыма много не бывает,MUSECUBE,http://musecube.org/otchet/otchet-music/dyma-mnogo-ne-byvaet/,Live Review,Russian,,g150703,archive.today
2015-07-28,,«Мы себя очень одиноко чувствуем в России и вообще везде»,Новая Земля,https://web.archive.org/web/20190703193949/http://landjournal.ru/shortparis-lonely/,Interview,Russian,,,Wayback
2015-10-02,Игорь Фоломеев,Deathcave: «Прах к праху»,MUSECUBE,http://musecube.org/otchet/otchet-music/deathcave-prah-k-prahu/,Live Review,Russian,,g140926,archive.today
2015-11-09,Евгений Кашпирев,ShortParis. A2 (Санкт-Петербург). 07.11.2015. Фоторепортаж,MUSECUBE,http://musecube.org/photo-all/photo-music/shortparis-a2-sankt-peterburg-07-11-2015-fotoreportazh/,Photo Reportage,Russian,,g151107,archive.is
2015-11-10,Борис Ковалев,Состояние очищения. Британское благородство в клубе А2,MUSECUBE,http://musecube.org/otchet/otchet-music/sostoyanie-ochishheniya-britanskoe-blago/,Live Review,Russian,,g151107,archive.today
2015-12-09,Игорь Фоломеев,"Эпичный поп-авангард, взрывной пост-панк и танцы под электроорган",MUSECUBE,http://musecube.org/otchet/otchet-music/epichnyj-pop-avangard-vzryvnoj-post-pa/,Live Review,Russian,,g151205,archive.today
2015-12-09,Александр Агафонов,SKIF (Sergey Kuryokhin International Festival). Центр Сергея Курехина (Санкт-Петербург). 05.12.2015. Фоторепортаж,MUSECUBE,http://musecube.org/photo-all/photo-music/skif-sergey-kuryokhin-international-festival-tsentr-sergeya-kurehina-sankt/,Photo Reportage,Russian,,g151205,Wayback
2015-12-12,Мария Долгорукова,SKIF XIX,Около,https://okolo.me/2015/12/skif-xix/,Live Review,Russian,,g151205,Wayback
2017-03-10,Елена Карпова,Shortparis. Космонавт (Санкт-Петербург). 09.03.2017. Фоторепортаж,MUSECUBE,http://musecube.org/photo-all/photo-music/shortparis-kosmonavt-sankt-peterburg-09-03-2017-fotor/,Photo Reportage,Russian,,g170309,Wayback
2017-03-14,Яна Квятковская,Shortparis: искусство быть собой,MUSECUBE,http://musecube.org/otchet/otchet-music/shortparis-iskusstvo-byt-soboj/,Live Review,Russian,,g170309,archive.today
2017-04-12,John Robb,The Russians are coming! top 20 bands from a new wave of Russian groups that are set to thrill,Louder Than War,https://louderthanwar.com/the-russians-are-coming-top-20-bands-from-a-new-wave-of-russian-groups-are-set-to-thrill/,General,English,,,archive.today
2017-04-20,Марина Аглиуллина,Shortparis: «Это опасный вопрос»,COLTA,https://www.colta.ru/articles/music_modern/14581-shortparis-eto-opasnyy-vopros,Interview,Russian,,,Wayback
2017-06-26,Ljubov Dzuzhynska,Interview: Shortparis,Âught Magazine,http://aughtmag.com/en/interview-shortparis/,Interview,English,,,archive.today
2017-06-26,Ljubov Dzuzhynska,Интервью: Shortparis,Âught Magazine,http://aughtmag.com/ru/intervyu-shortparis/,Interview,Russian,,,archive.today
2017-07-19,Дима Ромахов,"«Верните власть Медведеву!»: Shortparis о честности, Крыме и внутреннем факе",Афиша,https://daily.afisha.ru/music/6200-vernite-vlast-medvedevu-shortparis-o-chestnosti-kryme-i-vnutrennem-fake/,Interview,Russian,,,Wayback
2017-09-05,Игорь Фоломеев,Alt-J: «Красота в простоте»,MUSECUBE,http://musecube.org/otchet/otchet-music/alt-j-krasota-v-prostote/,Live Review,Russian,,g170831,Wayback
2017-10-17,Maria Remiga,Sight&Sound: Shortparis,CINEMAHOLICS,https://cinemaholics.ru/sight-and-sound-shortparis/,Interview,Russian,,,Wayback
2017-12-29,Марина Аглиуллина,"17 музыкальных альбомов 2017 года, которые достойны внимания",Buro 24/7,https://www.buro247.ru/culture/music/29-dec-2017-best-music-of-2017.html,Review,Russian,ab170315,,Wayback
2018-02-02,John Robb,Shortparis : MENT festival : live review ‘brilliant Russian band combine post industrial with stunning vocals’,Louder Than War,https://louderthanwar.com/shortparis-ment-festival-live-review-brilliant-russian-band-combine-post-industrial-with-stunning-vocals/,Live Review,English,,g180201,Wayback
2018-02-05,John Robb,10 great new bands from MENT festival : live review,Louder Than War,https://louderthanwar.com/10-great-new-bands-from-ment-festival-live-review/,Live Review,English,,g180201,Wayback
2018-02-05,John Robb,Top 10 Russian bands – a spotify playlist,Louder Than War,https://louderthanwar.com/top-10-russian-bands-spotify-playlist/,General,English,,,Wayback
2018-02-13,William Griffith,"LBM Abroad: MENT Festival (Ljubljana, SI 2018)",Live Beijing Music,http://www.livebeijingmusic.com/lbm-abroad-ment-festival-ljubljana-si-2018/,Live Review,English,,g180201,Wayback
2018-02-14,Richard Foster,Things Learned at MENT Festival,The Quietus,https://thequietus.com/articles/24038-things-learned-at-ment-festival-shortparis-mart-avi-glintshake,Live Review,English,,g180201,archive.today
2018-02-14,Steven Kline,Listen to Shortparis’ crazed new album,Gigwise,https://www.gigwise.com/news/3236287/listen-to-shortparis-crazed-new-album,Review,English,ab170315,,archive.today
2018-02-28,Юлия Симонова,Музыкальный перформанс от Shortparis,Около,https://okolo.me/2015/02/muzykalnyj-performans-ot-shortparis/,Live Review,Russian,,g150226,Wayback
2018-03-21,Cai Trefor,Watch: St Petersberg band Shortparis unveil new video ‘Стыд (Shame)’,Gigwise,https://www.gigwise.com/news/3241137/watch--st-petersberg-band-shortparis-unveil-new-video,Music Video Premiere,English,sn180301,,archive.today
2018-03-21,,Петербуржцы Shortparis — самая дикая концертная группа в стране. «Медуза» представляет премьеру их клипа «Стыд»,Meduza,https://meduza.io/shapito/2018/03/21/peterburzhtsy-shortparis-samaya-dikaya-kontsertnaya-gruppa-v-strane-meduza-predstavlyaet-premieru-ih-klipa-styd,Music Video Premiere,Russian,sn180301,,Wayback
2018-03-26,Илья Лапушенко,Группа ShortParis во Владимире: фоторепортаж с самого яркого концерта марта,progorod33.ru,https://progorod33.ru/news/40609,Live Review,Russian,,g180325,Wayback
2018-03-26,John Doran,The Quietus – Reviews – Shortparis,The Quietus,https://thequietus.com/articles/24274-shortparis-easter-album-review,Review,English,ab170315,,archive.today
2018-05-15,Елена Анисимова,Новая музыка: Shortparis – самая ошеломляющая группа Петербурга,Собака.ru,https://www.sobaka.ru/entertainment/music/72964,General,Russian,,,Wayback
2018-05-18,Алиса Мелова,Shortparis: оккультный шок на электрических стульях,Около,https://okolo.me/2018/05/shortparis-okkultnyj-shok-na-elektricheskih-stulyah/,Live Review,Russian,,g180518,Wayback
2018-05-28,Никита Величко,Как Shortparis стала лучшей концертной группой страны,The Village,https://www.the-village.ru/village/weekend/industry/312977-shortparis,Interview,Russian,,,Wayback
2018-06-06,Марина Аглиуллина,7 причин посмотреть фильм «Лето» Кирилла Серебренникова,Buro 24/7,https://www.buro247.ru/culture/cinema/6-jun-2018-why-watch-summer.html,General,Russian,,,Wayback
2018-06-20,"Anastasiia Fedorova, Sasha Mademuaselle",russian punk youth on tour,i-D,https://i-d.vice.com/en_au/article/d3kjba/russian-punk-youth-on-tour,General,English,,,Wayback
2018-07-11,Sean Harper,"Sado Opera, Shortparis, Wet Red And Kirill Richter's Guide To Russia",Ransom Note,https://www.theransomnote.com/music/articles/sado-opera-shortparis-wet-red-and-kirill-richters-guide-to-russia/,Interview,English,,,archive.today
2018-07-16,Robin Oostrom,#4df18: Shortparis is de leukste hipsterband van Siberië,3voor12,https://3voor12.vpro.nl/update~d4dab499-c304-4600-adbb-1e4bcdc32741~4df18-shortparis-is-de-leukste-hipsterband-van-siberi%C3%AB~.html,Live Review,Dutch,,g180715,Wayback
2018-07-18,Jente Lammerts,"Valkhof Festival is een oase van rust in de immense vierdaagse-gekte, met misschien wel de strakste programmering in jaren",The Daily Indie,https://www.thedailyindie.nl/valkhof-festival-is-een-oase-van-rust-in-de-immense-vierdaagse-gekte-met-misschien-wel-de-strakste-programmering-in-jaren/,Live Review,Dutch,,g180715,Wayback
2018-08-09,Matthew Neale,Live Report: OFF Festival 2018,Clash,https://www.clashmusic.com/live/live-report-off-festival-2018,Live Review,English,,g180803,Wayback
2018-08-10,Julian Marszalek,Things Learned At: OFF Festival,The Quietus,https://thequietus.com/articles/25115-things-learned-at-off-festival-lonker-see-shortparis-charlotte-gainsbourg,Live Review,English,,g180803,archive.today
