gig_id,url,type,archive_service
g110916,https://vk.com/wall-23220404_12,VK Wall Post,Wayback
g120310,https://lastfm-img2.akamaized.net/i/u/ar0/335a08d1add64c79cc6cb682ff15fc4e,Flyer,archive.is
g120310,https://vk.com/event35854690,VK Event,Wayback
g120310,https://www.last.fm/event/3223764+doqta+at+Line+Bar+on+10+March+2012,Last.fm Event,Wayback
g120421,https://vk.com/wall-23220404_34,VK Wall Post,Wayback
g120603,https://vk.com/event38376946,VK Event,Wayback
g120613,https://vk.com/wall-23220404_53,VK Wall Post,Wayback
g120615,https://vk.com/wall-23220404_54,VK Wall Post,Wayback
g120629,https://vk.com/event40372998,VK Event,Wayback
g120720,https://pp.userapi.com/ma3zrj6BJyvgTLMDc3Hu1air87OFPRbAixKoCA/hVMlgysxfF0.jpg?ava=1,Flyer,archive.is
g120720,https://vk.com/ohnowave,VK Event,Wayback
g120922,https://pp.userapi.com/c307113/v307113152/10eb/mhwkX5n_Jn4.jpg,Flyer,archive.is
g120922,https://vk.com/barto_single_dusche,VK Event,Wayback
g121031,https://vk.com/indievdusche,VK Event,archive.is
g121031,https://paperpaper.ru/red-delishes/,Press Release,Wayback
g121209,https://pp.userapi.com/FNfKMAsZfo5QUzjKHsCEI_wwIFq0Ul70LftO_A/r6jzITR9SRw.jpg,Flyer,archive.is
g121209,https://vk.com/sobor_nabat1,VK Event,Wayback
g130126,https://paperpaper.ru/astrocowboys-shortparis/,Press Release,
g130407,https://pp.userapi.com/-KwmaROjFoQJMqY2aJmD2nCdiantdw5R4aqKXg/Hjen2RgWdhY.jpg,Flyer,archive.is
g130407,https://vk.com/event50706856,VK Event,Wayback
g130516,https://www.darkside.ru/show/afisha/2013-05-18-6896.jpg,Flyer,archive.is
g130518,https://vk.com/wall-23220404_429,VK Post,
g130608,https://pp.userapi.com/O-AqVolcQGqmvVQzt3KpkE5frKeLzXZSF727ww/KR-50MfLaiQ.jpg,Flyer,archive.is
g130608,https://www.last.fm/event/3604493+Shortparis+at+Fish+Fabrique+Nouvelle+on+08+June+2013,Last.fm Event,Wayback
g130608,https://vk.com/event54141054,VK Event,Wayback
g130725,https://vk.com/wall-23220404_499,VK Post,
g130725,https://www.last.fm/event/3593980+The+Retuses+at+16+Tons+on+25+July+2013,Last.fm Event,
g131012,https://vk.com/event58754613,VK Event,Wayback
g131215,https://vk.com/event62119903,VK Event,Wayback
g140124,https://vk.com/ionosfear2,VK Event,archive.is
g140222,https://www.last.fm/event/3792039+Shortparis+at+Fish+Fabrique+Nouvelle+on+22+February+2014,Last.fm Event,archive.is
g140307,https://www.last.fm/event/3746483+LEBANON+HANOVER+(%D0%BF%D1%80%D0%B8+%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%B8%D0%B8+Shortparis),Last.fm Event,archive.is
g140404,https://vk.com/event65896840,VK Event,archive.is
g140620,https://vk.com/shortparis_ypsilon,VK Event,archive.is
g140719,https://pp.userapi.com/V9bCfRcZUqRkqgkPIqnKyRhNtLpTgHRa-r5ZlQ/r_KNHpsWTT8.jpg,Flyer,Wayback
g140719,https://vk.com/shortparis_chikiss_more,VK Event,Wayback
g140816,https://pp.userapi.com/BPwWy2YeprNhcJR23krdOf3jE7qR_3zX7wrUCQ/NxB51-fnTGA.jpg,Flyer,Wayback
g140816,https://vk.com/ionosfear9,VK Event,Wayback
g140828,https://vk.com/sexores_2808,VK Event,Wayback
g140905,https://pp.userapi.com/l-NuLyR10m4qk771qJJ5SWg08Q7esc0_Y6WWXg/9QYr9fBvBpQ.jpg,Flyer,Wayback
g140905,https://vk.com/modnyj_dada,VK Event,Wayback
g140926,https://pp.userapi.com/v7ZUH09IbxylYvfnb__-Mu94g_SPPVaIsnEgtA/SRxSJyX5cII.jpg,Flyer,Wayback
g140926,https://vk.com/incababies,VK Event,Wayback
g140927,https://vk.com/incababies,VK Event,Wayback
g141024,https://vk.com/shorparis_zoccolo,VK Event,Wayback
g141107,https://vk.com/shorparis_vinylla,VK Event,Wayback
g141130,https://www.last.fm/event/3952386+PLOHO+at+Fish+Fabrique+Nouvelle+on+30+November+2014,Last.fm Event,Wayback
g150226,https://web.archive.org/web/20170412042443/http://okolo.me:80/2015/02/dekadenty-21-veka/,Press Release,Wayback
g150327,https://pp.userapi.com/c623326/v623326321/22213/EUMEEWxA4tc.jpg,Flyer,Wayback
g150327,https://vk.com/ionosfear17,VK Event,Wayback
g150430,https://pp.userapi.com/c622329/v622329938/2ccaf/5e3_I4C5rxk.jpg,Flyer,
g150430,https://vk.com/walpurgisnight2015,VK Event,archive.is
g150529,https://pp.userapi.com/c623630/v623630321/2e34f/MTuTak3hKIA.jpg,Flyer,Wayback
