gig_id,date,venue,venue_mbid,city,country,festival,event_mbid,status,notes
g110916,2011-09-16,Bar SummeR,,Saint-Petersburg,Russia,,,,
g120310,2012-03-10,Line Bar,88dcd2e0-b7ac-43bd-b306-342d23843636,Saint-Petersburg,Russia,,d141ebda-6b9a-4f69-b41d-d08cf1d40a5d,,
g120421,2012-04-21,Stirka,,Saint-Petersburg,Russia,,,,
g120615,2012-05-15,Stirka,,Saint-Petersburg,Russia,,,,
g120603,2012-06-03,Hello Hostel,,Saint-Petersburg,Russia,,,,
g120629,2012-06-29,Pianobar NikO,,Saint-Petersburg,Russia,,,,
g120720,2012-07-20,Banka Soundbar,58940f50-1335-448f-9c47-60649d5efe57,Saint-Petersburg,Russia,,47aee3ee-0a3c-46cb-9c28-44a27923f5d2,,
g120922,2012-09-22,Dusche,914dfefa-7e4d-4715-bf6b-dd11ea8ff92b,Saint-Petersburg,Russia,,614497f1-2a8f-409f-8699-00f2e1673bef,,
g121031,2012-10-31,Dusche,914dfefa-7e4d-4715-bf6b-dd11ea8ff92b,Saint-Petersburg,Russia,,140c3cf5-eb08-437d-abae-6c167c48f840,,
g121209,2012-12-09,da:da:,3fb384b9-84c5-4e4f-9f60-67646cb90504,Saint-Petersburg,Russia,,0c632522-d295-4e3f-9042-47959016dfc6,,
g130126,2013-01-26,8paces,a91d10ef-b1be-42f3-a03d-cc7ea5dd8dc4,Saint-Petersburg,Russia,,3447ddcc-d929-474a-987f-5db7acfafacb,,
g130407,2013-04-07,Griboedov Club,e8f34934-d37e-47ef-863d-4d54c3e7b1df,Saint-Petersburg,Russia,,32e440c6-4115-4847-91f2-083ed208445c,,
g130516,2013-05-18,Sergey Kuryokhin Center for Modern Art,72eb1cee-6f16-42ce-adc1-8ac515452a2f,Saint-Petersburg,Russia,SKIF 17,45d69774-9475-4db5-ba31-f9e199ad0e18,,
g130608,2013-06-08,Fish Fabrique Nouvelle,29676438-b60f-4990-b747-ac98488b2d1e,Saint-Petersburg,Russia,,7dda62a3-7609-4c54-b1e4-24a2f8e79a02,,
g130725,2013-07-25,16 Tons,7e9afe9d-e59c-49d5-a09e-d1b20eff892d,Moscow,Russia,,868cd3ef-9c37-4a18-a611-fc5ee9f42493,,
g131012,2013-10-12,8paces,a91d10ef-b1be-42f3-a03d-cc7ea5dd8dc4,Saint-Petersburg,Russia,,540341e6-4a2f-4afd-8902-a3deaa67bb02,,
g131215,2013-12-15,da:da:,3fb384b9-84c5-4e4f-9f60-67646cb90504,Saint-Petersburg,Russia,,70ea1455-7cc9-472f-8645-f5072dc131a0,,
g140124,2014-01-24,da:da:,3fb384b9-84c5-4e4f-9f60-67646cb90504,Saint-Petersburg,Russia,Ionosfear 2,01f16f1b-999f-4ceb-aeea-0ae415262664,,
g140222,2014-02-22,Fish Fabrique Nouvelle,29676438-b60f-4990-b747-ac98488b2d1e,Saint-Petersburg,Russia,,1208fca1-e83a-4332-b6b8-def8d3a1ee47,,
g140307,2014-03-07,da:da:,3fb384b9-84c5-4e4f-9f60-67646cb90504,Saint-Petersburg,Russia,,e2e08209-e40e-4c3f-9888-e4c75bd81370,,
g140404,2014-04-04,Mona Club,4b451b67-3347-41d9-8da7-6de028c4f5d3,Moscow,Russia,,06b7cc9e-bb9a-4be1-b381-1d69ea5816a2,,
g140620,2014-06-20,Ypsilon,c67478aa-16e0-4b3b-a3a8-fda60e87a708,Moscow,Russia,,ad457e3e-590f-463c-b677-835db6a32a80,,
g140719,2014-07-19,More Artplace,149360e9-25c1-4f1e-9626-0cbeeb13f375,Saint-Petersburg,Russia,,44c33995-26eb-4016-9f1f-8d7983cfc082,,
g140816,2014-08-16,China-Town-Café,70a069e9-5e66-4b96-a987-5dd64fd94939,Moscow,Russia,Ionosfear 9,9e386a48-e71e-4132-9fdb-2660a1f9a2cf,,
g140828,2014-08-28,Zoccolo 2.0,8e37478b-1cc2-48e8-8449-9233411b0fbf,Saint-Petersburg,Russia,,616d98cc-bdc5-491f-864b-acc9c4bf313f,,
g140905,2014-09-05,da:da:,3fb384b9-84c5-4e4f-9f60-67646cb90504,Saint-Petersburg,Russia,Showcase Modnyj Petersburg,10528454-a2e9-491d-b99f-eac7b516c86e,,
g140926,2014-09-26,da:da:,3fb384b9-84c5-4e4f-9f60-67646cb90504,Saint-Petersburg,Russia,Deathcave St. Petersburg 2014,8fcbf8ab-a759-43e8-913b-0d570cd80e51,,
g140927,2014-09-27,Grand Bourbon Street,5a606869-3f97-4141-a47f-0128022b2045,Moscow,Russia,Deathcave Moscow 2014,fdd7d86f-e35a-4654-adbc-e2d454088278,,
g141024,2014-10-24,Zoccolo 2.0,8e37478b-1cc2-48e8-8449-9233411b0fbf,Saint-Petersburg,Russia,,07608586-8035-4af3-bbf8-86891345ca08,,
g141107,2014-11-07,VinyllaSky,a1ba11e5-9bb5-4899-90df-d8fdce545efd,Saint-Petersburg,Russia,,07ec0264-4270-48d9-be53-9e930c8b3d06,,
g141130,2014-11-30,Fish Fabrique Nouvelle,29676438-b60f-4990-b747-ac98488b2d1e,Saint-Petersburg,Russia,,f297308a-b78c-409d-b7ac-8994c62ed9bb,,
g150226,2015-02-26,Zal Ozhidaniya,341e59cd-2206-4834-81ee-58224ed6063d,Saint-Petersburg,Russia,,12131277-9720-4f7d-962b-89f74a8db2ca,,
g150327,2015-03-27,Backstage,daa533a0-a004-40ce-bd57-1301a29db0b5,Saint-Petersburg,Russia,Ionosfear No 17,bf6efc48-fc60-40ee-89f3-55d9b2930393,,
g150430,2015-04-30,Zal Ozhidaniya,341e59cd-2206-4834-81ee-58224ed6063d,Saint-Petersburg,Russia,Walpurgis Night 2015,c51b50b2-6d6a-474e-ac30-fb0b0649c977,,
g150523,2015-05-23,Продукты 24 (Convenience store),,Saint-Petersburg,Russia,,,,
g150529,2015-05-29,China-Town-Café,70a069e9-5e66-4b96-a987-5dd64fd94939,Moscow,Russia,Ionosfear 20,9846aec7-816b-457f-b3a2-4db2d01a02a2,,
g150530,2015-05-30,SKLAD club,7f6ff96e-83f9-405b-9621-d47687c79359,Nizhniy Novgorod,Russia,wave tronic,c28307d3-da4f-419b-831a-4d7147d9e963,,
g150703,2015-07-03,Lennauchfilm Studio,,Saint-Petersburg,Russia,,,,
g150912,2015-09-12,Smena,2d56b9c9-08d3-4704-a437-f74d816eb68d,Moscow,Russia,Moscow Music Week 2015,1b6fb04c-5086-494d-abbb-006feaaae35f,,
g150919,2015-09-19,Street Art Museum,2dd1c369-5e06-4f20-a49e-b01871abb8cf,Saint-Petersburg,Russia,,,,
g151016,2015-10-16,Jazzter,59a4236a-8afe-4db7-a511-777d6ce0993e,Kharkiv,Ukraine,,8edbe261-867e-4a6f-8a22-2f74b156fe6a,,
g151018,2015-10-18,Cadillac Art Club,e2b57bd9-4b6f-4b5f-beed-193cfb5eaaa9,Kiev,Ukraine,,2dc42e81-a60e-4635-aeb5-e8b60a0c7f12,,
g151020,2015-10-20,34,74ceea05-d251-412c-8ffa-fa049c753ce3,Chernivtsi,Ukraine,,6f688d1e-fbcc-4aaa-bb51-8ca9ecd45a2a,,
g151022,2015-10-22,More Music Club,a4c00632-9537-42a8-87cc-a8c0638288f2,Odessa,Ukraine,,d0777f70-76d0-4aa3-9398-ccc9602e9ab5,,
g151023,2015-10-23,Drunk Patrick,d2a07538-f8dc-4735-9092-d637d6b6167e,Mykolayiv,Ukraine,,b55fe25a-6595-4b55-ba66-fe52127ac2f7,,
g151024,2015-10-24,"Monotheatre ""Kut""",bd014ec2-0f84-44f0-a1cd-e41480487f09,Khmelnytskyi,Ukraine,Cow Art Fst,366f26e8-afb2-421a-9b23-15ee9123aaa3,,
