status,title,url,uploader,gig_id,content_type,content,notes
,Shortparis - Requem 22.09.12 Dusche,https://www.youtube.com/watch?v=vEvxzhS5220,Pablo Forestier,g120922,Song,Requiem,
,Shortparis 22.09.12 Dusche,https://www.youtube.com/watch?v=Rf_2ROZmCkc,Pablo Forestier,g120922,Song,,
,Shortparis 22.09.12 Dusche 1,https://www.youtube.com/watch?v=ezvf8W5jf_4,Pablo Forestier,g120922,Song,Your Queen,
,Shortparis (22.09.12),https://www.youtube.com/watch?v=o70TqbK04vA,Orange Zmiy,g120922,Song,,
,Shortparis на фестивале SKIF-17,https://www.youtube.com/watch?v=n9cRSmnSJ58,ЦСИ им. Сергея Курёхина,g130516,Multiple Songs,,
,Shortparis [1] | SKIF (СПб) | May-18-2013,https://www.youtube.com/watch?v=F0hKako6vbI,VictorVideoHistory,g130516,Song,Ma Soeur,Date in title is wrong? Also features Nikolai stomping on Danila @ 3:15
,Shortparis [2] | SKIF (СПб) | May-18-2013,https://www.youtube.com/watch?v=9BP8nFDAqAs,VictorVideoHistory,g130516,Song,Amsterdam,Date in title is wrong?
,Shortparis [3] | SKIF (СПб) | May-18-2013,https://www.youtube.com/watch?v=kklFfcTzuc0,VictorVideoHistory,g130516,Song,,Date in title is wrong?
,Shortparis [4] | SKIF (СПб) | May-18-2013,https://www.youtube.com/watch?v=Ug2Rzvs9o7w,VictorVideoHistory,g130516,Song,St. Tropez,Date in title is wrong?
,Shortparis [5] | SKIF (СПб) | May-18-2013,https://www.youtube.com/watch?v=pkIgqtaoJUI,VictorVideoHistory,g130516,Song,,Date in title is wrong?
,Shortparis [6] | SKIF (СПб) | May-18-2013,https://www.youtube.com/watch?v=KbsBucxD5W8,VictorVideoHistory,g130516,Song,,Date in title is wrong?
,SHORTPARIS. IONOSFEAR-2 | Da:Da: (СПб) | Jan-24-2014,https://www.youtube.com/watch?v=YBFtTmI-fqU,VictorVideoHistory,g140124,,,
,"Shortparis - 2014.04.04 - live in Monaclub, Moscow",https://www.youtube.com/watch?v=R18z9zOimT0,Антон Родионов,g140404,Full Set,,
,Shortparis @China-Town-Cafe 16-08-14 (2),https://www.youtube.com/watch?v=m4Qd8OOpS3s,a1argusblog,g140816,Song,,
,Shortparis @China-Town-Cafe 16-08-14 (3),https://www.youtube.com/watch?v=-Lww33ubNV0,a1argusblog,g140816,Song,Your Queen,
,Shortparis @China-Town-Cafe 16-08-14 (4),https://www.youtube.com/watch?v=9RPWExtkjzc,a1argusblog,g140816,Song,A Hero,
,SHORTPARIS - You Need Me (Swans cover) / Amsterdam,https://www.youtube.com/watch?v=GsIlFdts1B4,Денис Морозов,g140828,Multiple Songs,You Need Me (Swans cover)||Amsterdam,
,SHORTPARIS - Love Is Found (Sade cover) / A Hero / Family's White Silk,https://www.youtube.com/watch?v=s-GB4qBjl94,Денис Морозов,g140828,Multiple Songs,Love is Found (Sade cover)||A Hero||Family's White Silk,
,SHORTPARIS // Live at Zoccolo,https://www.youtube.com/watch?v=WTyeAePSjEo,Денис Морозов,g140828,Full Set,,
,SHORTPARIS - Your Queen,https://www.youtube.com/watch?v=AinV2NAkYp8,Денис Морозов,g140828,Song,Your Queen,
,SHORTPARIS - Introducion / Ma Sœur (Mal à la tête),https://www.youtube.com/watch?v=9_fxeeDoy8A,Денис Морозов,g140828,Song,Ma Soeur,
,SHORTPARIS - St.Tropez,https://www.youtube.com/watch?v=hvTCN63cun0,Денис Морозов,g140828,Song,St. Tropez,
,SHORTPARIS - White Skin (cut),https://www.youtube.com/watch?v=9kM6OxWxKKQ,Денис Морозов,g140828,Song,White Skin,
,Shortparis 28.08.2014,https://www.youtube.com/watch?v=HR57W2BCfnk,Настя зу,g140828,Song,White Skin,
,SHORTPARIS - Love Is Found (Sade cover),https://www.youtube.com/watch?v=igFMVEiAbSo,Денис Морозов,g140905,Song,Love is Found (Sade cover),
,SHORTPARIS // Live at Blue September,https://www.youtube.com/watch?v=8WgfhbDtcEU,Денис Морозов,g140905,,,
,SHORTPARIS - A Hero / Family's White Silk,https://www.youtube.com/watch?v=Yx89HxH7xnU,Денис Морозов,g140905,Multiple Songs,A Hero||Family's White Silk,
,SHORTPARIS feat.Юлия Накарякова,https://www.youtube.com/watch?v=_cLDMmJB6Mg,Денис Морозов,g140905,Song,?,
,SHORTPARIS - Introduccion / Ma Sœur (Mal à la tête),https://www.youtube.com/watch?v=t88hXqZxzt8,Денис Морозов,g140905,Song,Ma Soeur,
,SHORTPARIS - Your Queen,https://www.youtube.com/watch?v=WTVhOybsSVI,Денис Морозов,g140905,Song,Your Queen,
,SHORTPARIS - St.Trope,https://www.youtube.com/watch?v=-Vwl-D4D3UI,Денис Морозов,g140905,Song,St. Tropez,
,SHORTPARIS - You Need Me (Swans cover),https://www.youtube.com/watch?v=_Xm855CjpTE,Денис Морозов,g140905,Song,You Need Me (Swans cover),
,SHORTPARIS - Amsterdam,https://www.youtube.com/watch?v=v-46NcXmWHg,Денис Морозов,g140905,Song,Amsterdam,
,SHORTPARIS - You Need Me (Swans cover) / Amsterdam,https://www.youtube.com/watch?v=Ab9M7L2iymA,Денис Морозов,g140926,Multiple Songs,You Need Me (Swans cover)||Amsterdam,
,SHORTPARIS - White Skin,https://www.youtube.com/watch?v=kfVr-4uuvv8,Денис Морозов,g140926,Song,White Skin,
,SHORTPARIS // Live at Death Cave,https://www.youtube.com/watch?v=VajcFOvC4SI,Денис Морозов,g140926,,,
,SHORTPARIS - Family's White Silk,https://www.youtube.com/watch?v=sY_OnjvvV2s,Денис Морозов,g140926,Song,Family's White Silk,
,SHORTPARIS - Your Queen,https://www.youtube.com/watch?v=xLcOLe7eHmM,Денис Морозов,g140926,Song,Your Queen,
,Shortparis - Love is found (Sade cover) @GrandBourbonStreet 27-09-14 (1),https://www.youtube.com/watch?v=TDYMXVWycwI,a1argusblog,g140927,Song,Love is Found (Sade cover),
